Name,URL,Query_Depth,Matching_Keyword,Matching_Text
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"></li>
        <li><a href=""/course-formats"">Course Formats</a></li>
        <li><a href=""/distance-learning/distance-learning"">Distance Learning</a></li>
        <li><a href=""/course-formats"">Endorsements</a"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"><a href=""/course-formats"">Course Formats</a></li>
        <li><a href=""/distance-learning/distance-learning"">Distance Learning</a></li>
        <li><a href=""/course-formats"">Endorsements</a></li>
        <li"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"ormats"">Course Formats</a></li>
        <li><a href=""/distance-learning/distance-learning"">Distance Learning</a></li>
        <li><a href=""/course-formats"">Endorsements</a></li>
        <li><a href=""/scholars"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"f=""/dss/disability-support-services"">Disability Support Services</a></li>
        <li><a href=""/lac/learning-center"">Learning Center</a></li>
        <li><a href=""/library/library"">Library</a></li>
        <l"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"y-support-services"">Disability Support Services</a></li>
        <li><a href=""/lac/learning-center"">Learning Center</a></li>
        <li><a href=""/library/library"">Library</a></li>
        <li><a href=""/stude"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"/li>
        <li><a href=""/hinklecenter/hinkle-center"">Hinkle Center</a></li>
        <li><a href=""/learning-support-services"">Learning Support Services</a></li>
        <li><a href=""/veterans/veterans-resour"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"hinklecenter/hinkle-center"">Hinkle Center</a></li>
        <li><a href=""/learning-support-services"">Learning Support Services</a></li>
        <li><a href=""/veterans/veterans-resource-center"">Veterans Resourc"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"f=""/lac/international-student-support"">International Student Support</a></li>
        <li><a href=""/learning-support-services"">Learning Support Services</a></li>
        <li><a href=""/library/library"">Library"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"nt-support"">International Student Support</a></li>
        <li><a href=""/learning-support-services"">Learning Support Services</a></li>
        <li><a href=""/library/library"">Library</a></li>
        <li><a hr"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"Services</a></li>
        <li><a href=""/library/library"">Library</a></li>
        <li><a href=""/lac/learning-assistance-center"">Seminars and Workshops</a></li>
        <li><a href=""/lac/student-athlete-suppor"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"und-image"" src=""/images/default-source/megamenu-message/mm-circle-about.png"" />
    <h4>Choose Your Learning Style</h4>
    <h5><a href=""/course-formats"">View Our Course Formats</a></h5>
    </div>
    </div>"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"></li>
        <li><a href=""/course-formats"">Course Formats</a></li>
        <li><a href=""/distance-learning/distance-learning"">Distance Learning</a></li>
        <li><a href=""/course-formats"">Endorsements</a"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"><a href=""/course-formats"">Course Formats</a></li>
        <li><a href=""/distance-learning/distance-learning"">Distance Learning</a></li>
        <li><a href=""/course-formats"">Endorsements</a></li>
        <li"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"ormats"">Course Formats</a></li>
        <li><a href=""/distance-learning/distance-learning"">Distance Learning</a></li>
        <li><a href=""/course-formats"">Endorsements</a></li>
        <li><a href=""/scholars"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"f=""/dss/disability-support-services"">Disability Support Services</a></li>
        <li><a href=""/lac/learning-center"">Learning  Center</a></li>
        <li><a href=""/library/library"">Library</a></li>
        <"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"y-support-services"">Disability Support Services</a></li>
        <li><a href=""/lac/learning-center"">Learning  Center</a></li>
        <li><a href=""/library/library"">Library</a></li>
        <li><a href=""/stud"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"/li>
        <li><a href=""/hinklecenter/hinkle-center"">Hinkle Center</a></li>
        <li><a href=""/learning-support-services"">Learning Support Services</a></li>
        <li><a href=""/careerservices/student-e"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"hinklecenter/hinkle-center"">Hinkle Center</a></li>
        <li><a href=""/learning-support-services"">Learning Support Services</a></li>
        <li><a href=""/careerservices/student-employment"">Student Employme"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"f=""/lac/international-student-support"">International Student Support</a></li>
        <li><a href=""/learning-support-services"">Learning Support Services</a></li>
        <li><a href=""/library/library"">Library"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"nt-support"">International Student Support</a></li>
        <li><a href=""/learning-support-services"">Learning Support Services</a></li>
        <li><a href=""/library/library"">Library</a></li>
        <li><a hr"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"Services</a></li>
        <li><a href=""/library/library"">Library</a></li>
        <li><a href=""/lac/learning-assistance-center"">Seminars and Workshops</a></li>
        <li><a href=""/lac/student-athlete-suppor"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"egamenu-message/mm-circle-resources.png"" />
    <h4>All the Support You Need</h4>
    <h5><a href=""/learning-support-services"">View Learning Support Services</a></h5>
    </div>
    </div>
    <!-- END DROPDO"
Schoolcraft College,https://www.schoolcraft.edu/,1,learning,"ces.png"" />
    <h4>All the Support You Need</h4>
    <h5><a href=""/learning-support-services"">View Learning Support Services</a></h5>
    </div>
    </div>
    <!-- END DROPDOWN -->
    </li>
    <li onclick"
