name,url1,url2,url3
Albertus Magnus College,https://www.albertus.edu/,https://www.albertus.edu/graduate-degrees/,https://www.albertus.edu/undergraduate-degrees/undergraduate-degree-programs/
Albion College,https://www.albion.edu/,https://en.wikipedia.org/wiki/Albion_College,https://en.wikipedia.org/wiki/Albion_College#Academics
Albright College,https://www.albright.edu/,https://www.albright.edu/albright-college-webmail/,https://www.albright.edu/academic/undergraduate-programs/
Alcorn State University,https://www.alcorn.edu/,https://en.wikipedia.org/wiki/Alcorn_State_University,https://en.wikipedia.org/wiki/Alcorn_State_University#History
Alderson Broaddus University,https://ab.edu/,https://ab.edu/about-abu/,https://ab.edu/academics/degrees-majors-minors/
Alexandria Technical & Community College,https://www.alextech.edu/,https://en.wikipedia.org/wiki/Alexandria_Technical_and_Community_College,https://www.niche.com/colleges/alexandria-technical--and--community-college/
Alfred University,https://www.alfred.edu/,https://en.wikipedia.org/wiki/Alfred_University,https://en.wikipedia.org/wiki/Alfred_University#Background
Alhambra Medical University,https://amu.edu/,https://www.yelp.com/biz/alhambra-medical-university-integrative-clinic-alhambra,https://www.facebook.com/Alhambra-Medical-University-120845607931991/
Alice Lloyd College,https://www.alc.edu/,https://en.wikipedia.org/wiki/Alice_Lloyd_College,https://en.wikipedia.org/wiki/Alice_Lloyd_College#Student_finances_and_work-study
All-State Career School-Allied Health Campus,https://www.allstatecareer.edu/,https://www.allstatecareer.edu/campuses/maryland/baltimore.html,https://www.allstatecareer.edu/campuses/pennsylvania/essington.html
Allan Hancock College,https://www.hancockcollege.edu/,https://en.wikipedia.org/wiki/Allan_Hancock_College,https://www.usnews.com/education/community-colleges/allan-hancock-college-CC00092
Allegany College of Maryland,https://www.allegany.edu/,https://en.wikipedia.org/wiki/Allegany_College_of_Maryland,https://www.facebook.com/alleganycollegeofmaryland/
Allegheny College,https://allegheny.edu/,https://sites.allegheny.edu/about/,https://sites.allegheny.edu/studentinvolvement/student-organizations/media/the-campus-newspaper/
Allegheny Wesleyan College,https://awc.edu/,https://www.facebook.com/pages/Allegheny-Wesleyan/110441335650119,https://www.niche.com/colleges/allegheny-wesleyan-college/
Allen College,http://www.allencollege.edu/,https://en.wikipedia.org/wiki/Allen_College,https://www.niche.com/colleges/allen-college/
Allen County Community College,https://www.allencc.edu/,https://www.allenreddevils.com/landing/index,https://en.wikipedia.org/wiki/Allen_Community_College
Allen University,http://www.allenuniversity.edu/,http://www.allenuniversity.edu/athletics/,http://www.allenuniversity.edu/admissions/
Alliant International University-San Diego,https://www.alliant.edu/,https://en.wikipedia.org/wiki/Alliant_International_University,https://en.wikipedia.org/wiki/Alliant_International_University#History
Alma College,https://www.alma.edu/,https://en.wikipedia.org/wiki/Alma_College,https://en.wikipedia.org/wiki/Alma_College#History
Alpena Community College,https://discover.alpenacc.edu/,https://www.facebook.com/alpenacc/,https://en.wikipedia.org/wiki/Alpena_Community_College
Altierus Career College Everett,https://www.altierus.edu/campus/everett,https://www.heraldnet.com/business/altierus-to-close-everett-college-layoff-29/,https://www.univstats.com/colleges/everest-college-everett/
Altierus Career College-Arlington,https://www.altierus.edu/,https://www.altierus.edu/campus/houston-bissonnet,https://www.altierus.edu/campus/norcross
Altierus Career College-Chesapeake,https://www.collegeraptor.com/colleges/Altierus-Career-College-Chesapeake-VA--438647,https://www.altierus.edu/campus/chesapeake,https://pilotonline.com/business/consumer/article_ed9aa8c3-0808-54a1-b63c-24f52347264d.html
Altierus Career College-Colorado Springs,https://www.csbj.com/2017/08/03/everest-college-colorado-springs-becomes-altierus-career-college/,https://gazette.com/zenith-education-closing-colorado-springs-thornton-campuses-of-altierus-career/article_82581fdc-c34b-5891-83f4-0bb77b0d4e71.html,https://www.bizjournals.com/denver/news/2017/11/21/2-of-zeniths-altierus-career-college-campus-in.html
Altierus Career College-Fort Worth South,https://www.altierus.edu/campus/fort-worth-south,https://www.collegeraptor.com/colleges/Altierus-Career-College-Fort-Worth-South-TX--460358,https://www.campusexplorer.com/colleges/F32CC3CE/Texas/Fort-Worth/Altierus-Career-College-Fort-Worth-South/
Altierus Career College-Henderson,https://www.altierus.edu/campus/henderson,https://www.campusexplorer.com/colleges/D51548B0/Nevada/Henderson/Altierus-Career-College-Henderson/,https://www.yelp.com/biz/altierus-career-college-henderson
Altierus Career College-Norcross,https://www.altierus.edu/campus/norcross,https://www.niche.com/colleges/altierus-career-college---norcross/,https://www.facebook.com/AltierusNorcross/
Altierus Career College-Orange Park,https://www.firstcoastnews.com/article/news/77-492755469,https://www.altierus.edu/,https://www.altierus.edu/campus/houston-bissonnet
Altierus Career College-Tacoma,https://www.thenewstribune.com/news/business/article183584151.html,https://www.altierus.edu/campus/tacoma,https://www.campusexplorer.com/colleges/17B71EB7/Washington/Tacoma/Altierus-Career-College-Tacoma/
Altierus Career College-Tampa,https://www.altierus.edu/campus/tampa,https://www.altierus.edu/,https://www.altierus.edu/campus/houston-bissonnet
Altierus Career College-Thornton,https://www.altierus.edu/campus/thornton,https://www.collegeraptor.com/colleges/Altierus-Career-College-Thornton-CO--127787,https://gazette.com/zenith-education-closing-colorado-springs-thornton-campuses-of-altierus-career/article_82581fdc-c34b-5891-83f4-0bb77b0d4e71.html
Alvernia University,https://www.alvernia.edu/,https://en.wikipedia.org/wiki/Alvernia_University,https://en.wikipedia.org/wiki/Alvernia_University#History
Alverno College,https://www.alverno.edu/,https://en.wikipedia.org/wiki/Alverno_College,https://www.usnews.com/best-colleges/alverno-college-3832
Alvin Community College,https://www.alvincollege.edu/,https://en.wikipedia.org/wiki/Alvin_Community_College,https://www.facebook.com/alvincommunitycollege/
Amarillo College,https://www.actx.edu/,https://en.wikipedia.org/wiki/Amarillo_College,https://www.facebook.com/amarillocollege/
Amberton University,https://www.amberton.edu/,https://en.wikipedia.org/wiki/Amberton_University,https://en.wikipedia.org/wiki/Amberton_University#History
Ambria College of Nursing,http://www.ambria.edu/,https://www.niche.com/colleges/ambria-college-of-nursing/,https://www.yelp.com/biz/ambria-college-of-nursing-hoffman-estates
America Evangelical University,https://www.aeu.edu/,https://aeu.edu/Application,https://aeu.edu/page_cRUa61
American Academy McAllister Institute of Funeral Service,https://funeraleducation.org/,https://funeraleducation.org/home/about-aami/,https://funeraleducation.org/admissions-information/
